title,index,Abstract
Incomplete transcripts dominate the Mycobacterium tuberculosis transcriptome,"['14k Accesses', '2 Citations', '79 Altmetric']","Mycobacterium tuberculosis (Mtb) is a bacterial pathogen that causes tuberculosis (TB), an infectious disease that is responsible for major health and economic costs worldwide1. Mtb encounters diverse environments during its life cycle and responds to these changes largely by reprogramming its transcriptional output2. However, the mechanisms of Mtb transcription and how they are regulated remain poorly understood. Here we use a sequencing method that simultaneously determines both termini of individual RNA molecules in bacterial cells3 to profile the Mtb transcriptome at high resolution. Unexpectedly, we find that most Mtb transcripts are incomplete, with their 5′ ends aligned at transcription start sites and 3′ ends located 200–500 nucleotides downstream. We show that these short RNAs are mainly associated with paused RNA polymerases (RNAPs) rather than being products of premature termination. We further show that the high propensity of Mtb RNAP to pause early in transcription relies on the binding of the σ-factor. Finally, we show that a translating ribosome promotes transcription elongation, revealing a potential role for transcription–translation coupling in controlling Mtb gene expression. In sum, our findings depict a mycobacterial transcriptome that prominently features incomplete transcripts resulting from RNAP pausing. We propose that the pausing phase constitutes an important transcriptional checkpoint in Mtb that allows the bacterium to adapt to environmental changes and could be exploited for TB therapeutics."
Time-course transcriptome data of silk glands in day 0–7 last-instar larvae of Bombyx mori (w1 pnd strain),"['384 Accesses', '5 Altmetric']","Time-course transcriptome expression data were constructed for four parts of the silk gland (anterior, middle, and posterior parts of the middle silk gland, along with the posterior silk gland) in the domestic silkworm, Bombyx mori, from days 0 to 7 of the last-instar larvae. For sample preparation, silk glands were extracted from one female and one male larva every 24 hours accurately after the fourth ecdysis. The reliability of these transcriptome data was confirmed by comparing the transcripts per million (TPM) values of the silk gene and quantitative reverse transcription PCR results. Hierarchical cluster analysis results supported the reliability of transcriptome data. These data are likely to contribute to the progress in molecular biology and genetic research using B. mori, such as elucidating the mechanism underlying the massive production of silk proteins, conducting entomological research using a meta-analysis as a model for lepidopteran insect species, and exploring medical research using B. mori as a model for disease species by utilising transcriptome data."
The statistical geometry of transcriptome divergence in cell-type evolution and cancer,"['6079 Accesses', '36 Citations', '8 Altmetric']","In evolution, body plan complexity increases due to an increase in the number of individualized cell types. Yet, there is very little understanding of the mechanisms that produce this form of organismal complexity. One model for the origin of novel cell types is the sister cell-type model. According to this model, each cell type arises together with a sister cell type through specialization from an ancestral cell type. A key prediction of the sister cell-type model is that gene expression profiles of cell types exhibit tree structure. Here we present a statistical model for detecting tree structure in transcriptomic data and apply it to transcriptomes from ENCODE and FANTOM5. We show that transcriptomes of normal cells harbour substantial amounts of hierarchical structure. In contrast, cancer cell lines have less tree structure, suggesting that the emergence of cancer cells follows different principles from that of evolutionary cell-type origination."
"Single-cell transcriptome profiling highlights the importance of telocyte, kallikrein genes, and alternative splicing in mouse testes aging",['283 Accesses'],"Advancing healthcare for elderly men requires a deeper understanding of testicular aging processes. In this study, we conducted transcriptomic profiling of 43,323 testicular single cells from young and old mice, shedding light on 1032 telocytes—an underexplored testicular cell type in previous research. Our study unveiled 916 age-related differentially expressed genes (age-DEGs), with telocytes emerging as the cell type harboring the highest count of age-DEGs. Of particular interest, four genes (Klk1b21, Klk1b22, Klk1b24, Klk1b27) from the Kallikrein family, specifically expressed in Leydig cells, displayed down-regulation in aged testes. Moreover, cell-type-level splicing analyses unveiled 1838 age-related alternative splicing (AS) events. While we confirmed the presence of more age-DEGs in somatic cells compared to germ cells, unexpectedly, more age-related AS events were identified in germ cells. Further experimental validation highlighted 4930555F03Rik, a non-coding RNA gene exhibiting significant age-related AS changes. Our study represents the first age-related single-cell transcriptomic investigation of testicular telocytes and Kallikrein genes in Leydig cells, as well as the first delineation of cell-type-level AS dynamics during testicular aging in mice."
High-Throughput Transcriptome Profiling Of Human Mesenchymal Stem Cells Reveals A Role For Wnt/GSK-3 Signaling In Their Hypoimmunomodulation,"['362 Accesses', '1 Citations']","Mesenchymal stem cells (MSCs) are gaining importance among clinicians following recent demonstration of safe allogeneic transplantation due to their ability to modulate the immune response. However,the molecular machinery regulating the expression of immunomodulatory factors in MSCs is unknown. We, therefore, inhibited glycogen synthase kinase-3 (GSK-3),a Wnt signaling inhibitor, to elucidate the role of Wnt signaling in mediating immunoregulatory effects of human MSCs using gene expression profiling. Our results highlight enhanced ability of GSK-3 inhibitor (lithium) treated MSCs to evade immune response as a result of decreased expression of immune stimulatory cytokines and chemokines."
Tidings from the Tides–De novo transcriptome assembly of the endemic estuarine bivalve Villorita cyprinoides,['232 Accesses'],"The Indian black clam Villorita cyprinoides Gray, 1825, is an economically valuable estuarine bivalve that faces challenges from multiple stressors and anthropogenic pressures. However, limited genomic resources have hindered molecular investigations into the impact of these stressors on clam populations. Here, we have generated the first transcriptomic reference datasets for V. cyprinoides to address this knowledge gap. A total of 25,040,592 and 22,486,217 million Illumina paired-end reads generated from two individuals were assembled using Trinity and rnaSPAdes. From the 47,607 transcripts identified as Coding Domain Sequences, 37,487 returned positive BLAST hits against six different databases. Additionally, a total of 14,063 Single Sequence Repeats were identified using GMATA. This study significantly enhances the genetic understanding of V. cyprinoides, a potential candidate for aquaculture that supports the livelihoods of many people dependent on small-scale fisheries. The data generated provides insights into broader genealogical connections within the family Cyrenidae through comparative transcriptomics. Furthermore, this transcriptional profile serves as baseline data for future studies in toxicological and conservation genetics."
A distinct class of pan-cancer susceptibility genes revealed by an alternative polyadenylation transcriptome-wide association study,"['4150 Accesses', '16 Altmetric']","Alternative polyadenylation plays an important role in cancer initiation and progression; however, current transcriptome-wide association studies mostly ignore alternative polyadenylation when identifying putative cancer susceptibility genes. Here, we perform a pan-cancer 3′ untranslated region alternative polyadenylation transcriptome-wide association analysis by integrating 55 well-powered (n > 50,000) genome-wide association studies datasets across 22 major cancer types with alternative polyadenylation quantification from 23,955 RNA sequencing samples across 7,574 individuals. We find that genetic variants associated with alternative polyadenylation are co-localized with 28.57% of cancer loci and contribute a significant portion of cancer heritability. We further identify 642 significant cancer susceptibility genes predicted to modulate cancer risk via alternative polyadenylation, 62.46% of which have been overlooked by traditional expression- and splicing- studies. As proof of principle validation, we show that alternative alleles facilitate 3′ untranslated region lengthening of CRLS1 gene leading to increased protein abundance and promoted proliferation of breast cancer cells. Together, our study highlights the significant role of alternative polyadenylation in discovering new cancer susceptibility genes and provides a strong foundational framework for enhancing our understanding of the etiology underlying human cancers."
Natural proteome diversity links aneuploidy tolerance to protein turnover,"['18k Accesses', '2 Citations', '133 Altmetric']","Accessing the natural genetic diversity of species unveils hidden genetic traits, clarifies gene functions and allows the generalizability of laboratory findings to be assessed. One notable discovery made in natural isolates of Saccharomyces cerevisiae is that aneuploidy—an imbalance in chromosome copy numbers—is frequent1,2 (around 20%), which seems to contradict the substantial fitness costs and transient nature of aneuploidy when it is engineered in the laboratory3,4,5. Here we generate a proteomic resource and merge it with genomic1 and transcriptomic6 data for 796 euploid and aneuploid natural isolates. We find that natural and lab-generated aneuploids differ specifically at the proteome. In lab-generated aneuploids, some proteins—especially subunits of protein complexes—show reduced expression, but the overall protein levels correspond to the aneuploid gene dosage. By contrast, in natural isolates, more than 70% of proteins encoded on aneuploid chromosomes are dosage compensated, and average protein levels are shifted towards the euploid state chromosome-wide. At the molecular level, we detect an induction of structural components of the proteasome, increased levels of ubiquitination, and reveal an interdependency of protein turnover rates and attenuation. Our study thus highlights the role of protein turnover in mediating aneuploidy tolerance, and shows the utility of exploiting the natural diversity of species to attain generalizable molecular insights into complex biological processes."
Transcriptome-wide association study of attention deficit hyperactivity disorder identifies associated genes and phenotypes,"['9580 Accesses', '48 Citations', '14 Altmetric']","Attention deficit/hyperactivity disorder (ADHD) is a common neurodevelopmental psychiatric disorder. Genome-wide association studies (GWAS) have identified several loci associated with ADHD. However, understanding the biological relevance of these genetic loci has proven to be difficult. Here, we conduct an ADHD transcriptome-wide association study (TWAS) consisting of 19,099 cases and 34,194 controls and identify 9 transcriptome-wide significant hits, of which 6 genes were not implicated in the original GWAS. We demonstrate that two of the previous GWAS hits can be largely explained by expression regulation. Probabilistic causal fine-mapping of TWAS signals prioritizes KAT2B with a posterior probability of 0.467 in the dorsolateral prefrontal cortex and TMEM161B with a posterior probability of 0.838 in the amygdala. Furthermore, pathway enrichment identifies dopaminergic and norepinephrine pathways, which are highly relevant for ADHD. Overall, our findings highlight the power of TWAS to identify and prioritize putatively causal genes."
Systematic identification of abundant A-to-I editing sites in the human transcriptome,"['4643 Accesses', '648 Citations', '19 Altmetric']","RNA editing by members of the ADAR (adenosine deaminases acting on RNA) family leads to site-specific conversion of adenosine to inosine (A-to-I) in precursor messenger RNAs. Editing by ADARs is believed to occur in all metazoa, and is essential for mammalian development. Currently, only a limited number of human ADAR substrates are known, whereas indirect evidence suggests a substantial fraction of all pre-mRNAs being affected. Here we describe a computational search for ADAR editing sites in the human transcriptome, using millions of available expressed sequences. We mapped 12,723 A-to-I editing sites in 1,637 different genes, with an estimated accuracy of 95%, raising the number of known editing sites by two orders of magnitude. We experimentally validated our method by verifying the occurrence of editing in 26 novel substrates. A-to-I editing in humans primarily occurs in noncoding regions of the RNA, typically in Alu repeats. Analysis of the large set of editing sites indicates the role of editing in controlling dsRNA stability."
A transcriptome based molecular classification scheme for cholangiocarcinoma and subtype-derived prognostic biomarker,"['2775 Accesses', '1 Citations', '3 Altmetric']","Previous studies on the molecular classification of cholangiocarcinoma (CCA) focused on certain anatomical sites, and disregarded tissue contamination biases in transcriptomic profiles. We aim to provide universal molecular classification scheme and prognostic biomarker of CCAs across anatomical locations. Comprehensive bioinformatics analysis is performed on transcriptomic data from 438 CCA cases across various anatomical locations. After excluding CCA tumors showing normal tissue expression patterns, we identify two universal molecular subtypes across anatomical subtypes, explore the molecular, clinical, and microenvironmental features of each class. Subsequently, a 30-gene classifier and a biomarker (called “CORE-37”) are developed to predict the molecular subtype of CCA and prognosis, respectively. Two subtypes display distinct molecular characteristics and survival outcomes. Key findings are validated in external cohorts regardless of the stage and anatomical location. Our study provides a CCA classification scheme that complements the conventional anatomy-based classification and presents a promising prognostic biomarker for clinical application."
Impaired metal perception and regulation of associated human foliate papillae tongue transcriptome in long-COVID-19,"['1153 Accesses', '28 Altmetric']","Chemosensory impairment is an outstanding symptom of SARS-CoV-2 infections. We hypothesized that measured sensory impairments are accompanied by transcriptomic changes in the foliate papillae area of the tongue. Hospital personnel with known SARS-CoV-2 immunoglobulin G (IgG) status completed questionnaires on sensory perception (n = 158). A subcohort of n = 141 participated in forced choice taste tests, and n = 43 participants consented to donate tongue swabs of the foliate papillae area for whole transcriptome analysis. The study included four groups of participants differing in IgG levels (≥ 10 AU/mL = IgG+; < 10 AU/mL = IgG-) and self-reported sensory impairment (SSI±). IgG+ subjects not detecting metallic taste had higher IgG+ levels than IgG+ participants detecting iron gluconate (p = 0.03). Smell perception was the most impaired biological process in the transcriptome data from IgG+/SSI+ participants subjected to gene ontology enrichment. IgG+/SSI+ subjects demonstrated lower expression levels of 166 olfactory receptors (OR) and 9 taste associated receptors (TAS) of which OR1A2, OR2J2, OR1A1, OR5K1 and OR1G1, as well as TAS2R7 are linked to metallic perception. The question raised by this study is whether odorant receptors on the tongue (i) might play a role in metal sensation, and (ii) are potential targets for virus-initiated sensory impairments, which needs to be investigated in future functional studies."
Transcriptome analysis reveals the molecular mechanisms underlying the enhancement of salt-tolerance in Melia azedarach under salinity stress,['780 Accesses'],"Melia azedarach demonstrates strong salt tolerance and thrives in harsh saline soil conditions, but the underlying mechanisms are poorly understood. In this study, we analyzed gene expression under low, medium, and high salinity conditions to gain a deeper understanding of adaptation mechanisms of M. azedarach under salt stress. The GO (gene ontology) analysis unveiled a prominent trend: as salt stress intensified, a greater number of differentially expressed genes (DEGs) became enriched in categories related to metabolic processes, catalytic activities, and membrane components. Through the analysis of the category GO:0009651 (response to salt stress), we identified four key candidate genes (CBL7, SAPK10, EDL3, and AKT1) that play a pivotal role in salt stress responses. Furthermore, the KEGG (Kyoto Encyclopedia of Genes and Genomes) pathway enrichment analysis revealed that DEGs were significantly enriched in the plant hormone signaling pathways and starch and sucrose metabolism under both medium and high salt exposure in comparison to low salt conditions. Notably, genes involved in JAZ and MYC2 in the jasmonic acid (JA) metabolic pathway were markedly upregulated in response to high salt stress. This study offers valuable insights into the molecular mechanisms underlying M. azedarach salt tolerance and identifies potential candidate genes for enhancing salt tolerance in M. azedarach."
Transcriptome sequencing of seven deep marine invertebrates,"['725 Accesses', '25 Altmetric']","We present 4k video and whole transcriptome data for seven deep-sea invertebrate animals collected in the Eastern Pacific Ocean during a research expedition onboard the Schmidt Ocean Institute’s R/V Falkor in August of 2021. The animals include one jellyfish (Atolla sp.), three siphonophores (Apolemia sp., Praya sp., and Halistemma sp.), one larvacean (Bathochordaeus mcnutti), one tunicate (Pyrosomatidae sp.), and one ctenophore (Lampocteis sp.). Four of the animals were sequenced with long-read RNA sequencing technology, such that the reads themselves define a reference assembly for those animals. The larvacean tissues were successfully preserved in situ and has paired long-read reference data and short read quantitative transcriptomic data for within-specimen analyses of gene expression. Additionally, for three animals we provide quantitative image data, and a 3D model for one siphonophore. The paired image and transcriptomic data can be used for species identification, species description, and reference genetic data for these deep-sea animals."
Prediction of m6A and m5C at single-molecule resolution reveals a transcriptome-wide co-occurrence of RNA modifications,"['6120 Accesses', '2 Citations', '38 Altmetric']","The epitranscriptome embodies many new and largely unexplored functions of RNA. A significant roadblock hindering progress in epitranscriptomics is the identification of more than one modification in individual transcript molecules. We address this with CHEUI (CH3 (methylation) Estimation Using Ionic current). CHEUI predicts N6-methyladenosine (m6A) and 5-methylcytosine (m5C) in individual molecules from the same sample, the stoichiometry at transcript reference sites, and differential methylation between any two conditions. CHEUI processes observed and expected nanopore direct RNA sequencing signals to achieve high single-molecule, transcript-site, and stoichiometry accuracies in multiple tests using synthetic RNA standards and cell line data. CHEUI’s capability to identify two modification types in the same sample reveals a co-occurrence of m6A and m5C in individual mRNAs in cell line and tissue transcriptomes. CHEUI provides new avenues to discover and study the function of the epitranscriptome."
Transcriptome sequencing of garlic reveals key genes related to the heat stress response,['75 Accesses'],"With global warming, heat stress has become an important factor that seriously affects crop yield and quality. Therefore, understanding plant responses to heat stress is important for agricultural practice, but the molecular mechanism of high-temperature tolerance in garlic remains unclear. In this study, ‘Xusuan No. 6’ was used as the experimental material. After heat stress for 0 (CK), 2 and 24 h, transcriptome sequencing was used to screen metabolic pathways and differentially expressed genes (DEGs) closely related to heat stress and was further verified by quantitative real-time polymerase chain reaction (qRT-PCR). A total of 86,110 unigenes obtained from the raw transcriptome sequencing data were spliced. After 2 h of heat treatment, the expression levels of 8898 genes increased, and 3829 genes were decreased in leaves. After 24 h, the expression levels of 7167 genes were upregulated, and 3176 genes were downregulated. Gene Ontology enrichment analysis showed that DEGs were mainly enriched in seven categories: cellular processes, metabolic processes, binging, catalytic activity, cellular anatomical entity and protein-containing complex response to stimulus. Kyoto Encyclopedia of Genes and Genomes pathway enrichment showed that DEGs are involved in protein processing in the endoplasmic reticulum, plant hormone signal transduction, phenylpropanoid biosynthesis, and photosynthetic antenna proteins. Six genes were selected and further verified by qRT-PCR. In this study, the full-length transcriptome of garlic was constructed, and the regulatory genes related to the heat resistance of garlic were studied. Taken together, these findings can provide a theoretical basis for the cloning of heat resistance genes in garlic and for the analysis of heat resistance mechanisms."
Effects of SPI1-mediated transcriptome remodeling on Alzheimer’s disease-related phenotypes in mouse models of Aβ amyloidosis,"['3831 Accesses', '30 Altmetric']","SPI1 was recently reported as a genetic risk factor for Alzheimer’s disease (AD) in large-scale genome-wide association studies. However, it is unknown whether SPI1 should be downregulated or increased to have therapeutic benefits. To investigate the effect of modulating SPI1 levels on AD pathogenesis, we performed extensive biochemical, histological, and transcriptomic analyses using both Spi1-knockdown and Spi1-overexpression mouse models. Here, we show that the knockdown of Spi1 expression significantly exacerbates insoluble amyloid-β (Aβ) levels, amyloid plaque deposition, and gliosis. Conversely, overexpression of Spi1 significantly ameliorates these phenotypes and dystrophic neurites. Further mechanistic studies using targeted and single-cell transcriptomics approaches demonstrate that altered Spi1 expression modulates several pathways, such as immune response pathways and complement system. Our data suggest that transcriptional reprogramming by targeting transcription factors, like Spi1, might hold promise as a therapeutic strategy. This approach could potentially expand the current landscape of druggable targets for AD."
An organism-wide atlas of hormonal signaling based on the mouse lemur single-cell transcriptome,"['2626 Accesses', '1 Altmetric']","Hormones mediate long-range cell communication and play vital roles in physiology, metabolism, and health. Traditionally, endocrinologists have focused on one hormone or organ system at a time. Yet, hormone signaling by its very nature connects cells of different organs and involves crosstalk of different hormones. Here, we leverage the organism-wide single cell transcriptional atlas of a non-human primate, the mouse lemur (Microcebus murinus), to systematically map source and target cells for 84 classes of hormones. This work uncovers previously-uncharacterized sites of hormone regulation, and shows that the hormonal signaling network is densely connected, decentralized, and rich in feedback loops. Evolutionary comparisons of hormonal genes and their expression patterns show that mouse lemur better models human hormonal signaling than mouse, at both the genomic and transcriptomic levels, and reveal primate-specific rewiring of hormone-producing/target cells. This work complements the scale and resolution of classical endocrine studies and sheds light on primate hormone regulation."
Advancing transcriptome platforms,['257 Accesses'],"During the last decade of years, remarkable technological innovations have emerged that allow the direct or indirect determination of the transcriptome at unprecedented scale and speed. Studies using these methods have already altered our view of the extent and complexity of transcript profiling, which has advanced from one-gene-at-a-time to a holistic view of the genome. Here, we outline the major technical advances in transcriptome characterization, including the most popular used hybridization-based platform, the well accepted tag-based sequencing platform, and the recently developed RNA-Seq (RNA sequencing) based platform. Importantly, these next-generation technologies revolutionize assessing the entire transcriptome via the recent RNA-Seq technology."
